
dccn-l029.dccn.nl: 
                                                                                  Req'd    Req'd       Elap
Job ID                  Username    Queue    Jobname          SessID  NDS   TSK   Memory   Time    S   Time
----------------------- ----------- -------- ---------------- ------ ----- ------ ------ --------- - ---------
9711984.dccn-l029.dccn  matfri      long     matfri_dccn_c009    --    --       1    3gb  02:03:00 R 842:57:15   dccn-c364
9940777.dccn-l029.dccn  sanbos      interact STDIN             22847     1      1   12gb  72:00:00 R 147:42:15   dccn-c007
9961853.dccn-l029.dccn  lordeu      interact STDIN             11798     1      1   12gb  72:00:00 R 101:09:27   dccn-c010
9981152.dccn-l029.dccn  mirblo      interact STDIN             30905     1      1    3gb  48:00:00 R  75:12:48   dccn-c003
10042597.dccn-l029.dcc  vinjan      interact STDIN             23700   --       1   16gb  24:00:00 C       --    dccn-c013
10045456.dccn-l029.dcc  annvnul     interact STDIN              6334     1      1    6gb  23:59:00 R  22:38:00   dccn-c012
10051070[1].dccn-l029.  erivoor     batch    step5_GICA-1      14631     1      1   20gb 168:00:00 R  07:35:06   dccn-c011
10051070[2].dccn-l029.  erivoor     batch    step5_GICA-2      25224     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[3].dccn-l029.  erivoor     batch    step5_GICA-3      25252     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[4].dccn-l029.  erivoor     batch    step5_GICA-4      25282     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[5].dccn-l029.  erivoor     batch    step5_GICA-5      25319     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[6].dccn-l029.  erivoor     batch    step5_GICA-6      25352     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[7].dccn-l029.  erivoor     batch    step5_GICA-7      25385     1      1   20gb 168:00:00 R  07:35:06   dccn-c014
10051070[8].dccn-l029.  erivoor     batch    step5_GICA-8      15742     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
10051070[9].dccn-l029.  erivoor     batch    step5_GICA-9      15764     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
10051070[10].dccn-l029  erivoor     batch    step5_GICA-10     15801     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
10051070[11].dccn-l029  erivoor     batch    step5_GICA-11     15836     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
10051070[12].dccn-l029  erivoor     batch    step5_GICA-12     15867     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
10051070[13].dccn-l029  erivoor     batch    step5_GICA-13     15903     1      1   20gb 168:00:00 R  07:35:06   dccn-c015
